cellid,enbrnc,xarfcn,unit,band,fc,signal,lat,lon,speed,rsrq,ss,WindGust,Pressure,Precip
10118668,39526,876,52,2,1957.6,-80,39.0346913,-94.580075,1.5,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-79,39.0346521,-94.5799061,1.5,-15,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-79,39.0346298,-94.5797009,1.4,-15,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-74,39.0346244,-94.5796339,1.6,-12,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-74,39.0346075,-94.5795981,1.5,-12,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-79,39.0346072,-94.579559,1.6,-12,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-79,39.0346091,-94.5795119,1.5,-12,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-78,39.0346331,-94.5793106,1.6,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-81,39.0346595,-94.5791309,1.6,-15,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-81,39.034682,-94.5790372,1.5,-15,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-83,39.0346964,-94.5789738,1.3,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-83,39.0346837,-94.5789046,1.4,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-83,39.034706,-94.5788701,0.7,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-88,39.0347203,-94.5788014,1.5,-15,30,30,28.78,0
25670668,100276,876,112,2,1957.6,-86,39.0347037,-94.5787404,1.5,-13,30,30,28.78,0
25670668,100276,876,112,2,1957.6,-86,39.034701,-94.5786769,1.5,-13,30,30,28.78,0
25670668,100276,876,112,2,1957.6,-83,39.0346858,-94.5786153,1.5,-10,31,30,28.78,0
25670668,100276,876,112,2,1957.6,-83,39.0346696,-94.5785588,1.5,-10,31,30,28.78,0
25670668,100276,876,112,2,1957.6,-84,39.034621,-94.5783259,1.5,-16,31,30,28.78,0
25670668,100276,876,112,2,1957.6,-84,39.0345933,-94.5781376,1.7,-16,31,30,28.78,0
