cellid,xarfcn,fc,signal,lat,lon,acc,speed,alt,rsrq,rssnr,ss,ta
5122562,66611,2127.5,-84,39.0642718,-94.5853034,10.8,0.7,257.9,-14,13.4,31,-1
5122562,66611,2127.5,-90,39.0642664,-94.5853202,10.6,0,256.3,-14,15.2,29,-1
5122562,66611,2127.5,-90,39.0642461,-94.585315,10.6,0,256.3,-14,13.2,29,-1
5122562,66611,2127.5,-86,39.0642143,-94.5853432,11.8,1.4,257.8,-12,12.2,30,-1
5122562,66611,2127.5,-86,39.064149,-94.5854044,14.9,1.3,256.9,-12,15,30,-1
5122562,66611,2127.5,-82,39.064103,-94.5854574,16.6,0.3,256.9,-12,20,31,3
5122562,66611,2127.5,-81,39.0640875,-94.5854791,16.5,0,257.9,-11,20,31,2
5122562,66611,2127.5,-81,39.0640342,-94.585506,14.9,0.8,255.5,-11,17.8,31,2
5122562,66611,2127.5,-84,39.0639954,-94.5855501,15.7,0.8,257,-14,14,31,-1
5122562,66611,2127.5,-84,39.0639399,-94.5855823,14.8,1.1,257,-14,13,31,-1
5122562,66611,2127.5,-84,39.0638714,-94.5856096,16.8,1.3,257.4,-14,23.4,31,-1
5122562,66611,2127.5,-83,39.0638198,-94.5856317,17.6,0,255.5,-7,12.2,29,-1
5122562,66611,2127.5,-82,39.0638224,-94.5856104,15.8,0.2,257.4,-12,12,31,-1
5122562,66611,2127.5,-82,39.0638173,-94.5856062,15.4,0,257.3,-12,9.8,31,-1
5122562,66611,2127.5,-88,39.0637927,-94.5855922,14.3,0.1,257.3,-11,10.6,28,-1
5122562,66611,2127.5,-88,39.0637768,-94.5855848,13.6,0,257.4,-11,11.2,28,-1
5122562,66611,2127.5,-85,39.0637668,-94.5856117,13.6,1.2,257.4,-11,19.2,29,2
5122562,66611,2127.5,-85,39.0637749,-94.5856542,16.5,1.3,257.9,-11,26.4,29,2
5122562,66611,2127.5,-74,39.0637689,-94.5856924,19.3,0.7,257.9,-15,24.4,31,-1
5122562,66611,2127.5,-85,39.0637009,-94.5858211,18.3,1.7,257.3,-9,13.2,29,-1
5122562,66611,2127.5,-85,39.0636725,-94.5859394,15.5,3.2,255,-9,15,29,-1
5122562,66611,2127.5,-85,39.0636603,-94.585976,15.6,1.6,254.8,-9,15,29,-1
5122562,66611,2127.5,-91,39.06358,-94.5859651,16.2,1.1,254.8,-14,19.6,28,-1
5122562,66611,2127.5,-91,39.0634831,-94.5859343,16.2,1.5,254.8,-14,13,28,-1
5122562,66611,2127.5,-91,39.0633798,-94.5858513,15.4,1.7,257.3,-9,14.2,25,-1
5122562,66611,2127.5,-91,39.0632894,-94.5858065,14.4,1.3,257.3,-9,16.8,25,-1
5122562,66611,2127.5,-88,39.0632137,-94.5857424,14,1.2,254.8,-10,17,27,-1
5122562,66611,2127.5,-73,39.0631545,-94.5857687,14.7,1.1,254.8,-16,29.2,31,-1
5122562,66611,2127.5,-73,39.0630629,-94.5857455,13.6,1.2,250.3,-16,20.8,31,-1
5122562,66611,2127.5,-79,39.0629793,-94.5857742,12.9,1.3,251.1,-10,26,31,-1
5122562,66611,2127.5,-79,39.0629076,-94.5858162,13.6,1.3,250.3,-10,24.6,31,-1
5122562,66611,2127.5,-81,39.0628507,-94.5858651,14,1.3,250.3,-8,26,30,-1
5122562,66611,2127.5,-81,39.0627812,-94.5858697,14.4,1.4,250,-8,25.6,30,-1
5122562,66611,2127.5,-81,39.0627121,-94.5858677,14,1.2,249.6,-6,29.4,29,-1
5122562,66611,2127.5,-81,39.0626584,-94.5858652,14,1.1,250.3,-6,16.6,29,-1
5122562,66611,2127.5,-77,39.0625948,-94.5858824,14.4,1.3,250.3,-13,28.4,31,-1
5122562,66611,2127.5,-77,39.0625758,-94.5859415,13.6,1.2,250.3,-13,24.4,31,-1
5122562,66611,2127.5,-85,39.062616,-94.5860612,12.6,0,254.7,-12,24.8,30,2
5122562,66611,2127.5,-85,39.062574,-94.5860263,12.4,1.2,250.3,-12,17.2,30,2
5122562,66611,2127.5,-85,39.0624992,-94.585999,13.4,1.2,250.3,-12,17.2,30,2
5122562,66611,2127.5,-88,39.0624275,-94.585968,14.3,1.3,248.5,-14,17.2,30,-1
5122562,66611,2127.5,-88,39.0623691,-94.5859518,14.5,1.4,250,-14,22.6,30,-1
5122562,66611,2127.5,-83,39.0623122,-94.5859809,13.8,1.3,250.3,-13,24.4,31,-1
5122562,66611,2127.5,-83,39.0622491,-94.5860015,13.2,1.3,250,-13,29.2,31,-1
5122562,66611,2127.5,-83,39.0621913,-94.5860213,14.4,1.3,250,-13,19.2,31,-1
5122562,66611,2127.5,-85,39.0621274,-94.5860575,14.6,1.4,248.3,-14,19.2,31,-1
5122562,66611,2127.5,-85,39.0620887,-94.5861438,13.4,1.3,250,-14,25.4,31,-1
5122562,66611,2127.5,-85,39.0620695,-94.5862244,13.9,1.3,248.3,-14,25.4,30,-1
5122562,66611,2127.5,-85,39.0620469,-94.5863359,13.9,1.3,248.5,-14,23.8,30,-1
5122562,66611,2127.5,-86,39.0620397,-94.5864001,14.7,1.2,248.5,-14,20.6,30,-1
5122562,66611,2127.5,-86,39.0620377,-94.5864537,17.6,1.2,248.5,-14,28,30,-1
5122562,66611,2127.5,-83,39.0620846,-94.5865598,16.5,1.7,248.1,-13,29.2,31,-1
5122562,66611,2127.5,-83,39.0620939,-94.5866659,13.8,1.3,248.1,-13,28.4,31,-1
5122562,66611,2127.5,-83,39.0620985,-94.5867594,13.2,1.3,248.5,-13,21,31,-1
5122562,66611,2127.5,-82,39.0620909,-94.5868274,14,1.3,248.5,-15,15,31,2
5122562,66611,2127.5,-82,39.0620654,-94.5869093,13.4,1.3,251,-15,27,31,2
5122562,66611,2127.5,-79,39.0620342,-94.5869671,11.5,1.2,249.6,-15,27,31,-1
5122562,66611,2127.5,-79,39.0619854,-94.587022,11.6,1.2,251,-15,23.2,31,-1
5122562,66611,2127.5,-80,39.0619365,-94.5870485,12.7,1.2,251,-13,17.4,31,-1
5122562,66611,2127.5,-80,39.061907,-94.5870955,11.7,1.2,248.5,-13,20,31,-1
5122562,66611,2127.5,-82,39.0618471,-94.587091,12.3,1.1,249.4,-15,21,31,-1
5122562,66611,2127.5,-82,39.0617975,-94.5870854,12.4,1.1,249.4,-15,21,31,-1
